title,price,location,destaque,condominio,area_util,quartos,banheiros,vagas_na_garagem,iptu,academia,elevador,permitido_animais,piscina,portaria,salao_de_festas,condominio_fechado,seguranca_24h,portao_eletronico,area_murada,area_de_servico,armarios_na_cozinha,armarios_no_quarto,churrasqueira,mobiliado,quarto_de_servico,ar_condicionado,porteiro_24h,varanda,img_index,categoria_Casas,tipo_Casa de vila,tipo_Cobertura,tipo_Duplex ou triplex,tipo_Kitnet,tipo_Loft,tipo_Padrão,zona_LESTE,zona_NORTE,zona_OESTE,zona_SUL
Apartamento MOBILIADO com ÓTIMA Localização Água Branca,350000,859,1,380,43,2,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"Apartamento 115.000,00",115000,454,1,150,50,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0
Casa de condomínio sobrado para venda com 97 metros quadrados com 3 quartos,570000,328,0,320,97,3,3,2,19,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,4,1,0,0,0,0,0,0,0,0,1,0
"Cobertura com 3 dormitórios (1 suíte) á venda, 163 metros e 3 vagas - Alto da Lapa - São P",2250000,2,0,1790,163,3,4,3,616,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,1,0
CASA TERREA  NO JARDIM BONFIGLIOLI COM 3 DORMITORIOS .FL18,820000,150,0,0,167,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,1,0,0,1,0
Apartamento para venda possui 143 metros quadrados com 3 quartos em Higienópolis - São Pau,1500000,108,0,2436,143,3,2,1,621,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,1,0
Apartamento 2 dormitórios próximo ao Parque Buenos Aires,1400000,108,0,1431,120,2,2,0,169,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,1,0
CASA TERREA  NO JARDIM BONFIGLIOLI COM 3 DORMITORIOS .FL18,800000,150,0,0,167,3,3,4,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,1,0,0,1,0
Casa para venda com 70 m² com 2 quartos em Vila Romana - São Paulo - SP,600000,778,0,0,70,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,1,0,0,1,0
CASA TERREA  NO JARDIM BONFIGLIOLI COM 3 DORMITORIOS .FL18,780000,150,0,0,167,3,3,4,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,1,0,0,1,0
Apartamento de 80m² com 3 quartos em Pirituba,350000,494,0,500,80,3,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,1,0
Sobrado para venda com 150 metros quadrados com 3 quartos em Jardim Trussardi - São Paulo ,760000,358,0,0,150,3,4,4,260,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,1,0,0,0,0,0,1,0,0,1,0
Apartamento p/ Reforma - Excelente Ocasião p/ Compra,1050000,517,0,1100,109,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,1,0
Apartamento a venda no Alto da Lapa,950000,2,0,1200,92,3,2,2,450,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,1,0
"Apartamento para Venda em São Paulo, Butanta, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas",480000,192,0,980,74,3,2,2,95,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,20,0,0,0,0,0,0,1,0,0,1,0
Ótimo apartamento mobiliado à Venda na Vila Madalena/Sumaré,630000,518,0,405,30,1,1,0,97,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,21,0,0,0,0,0,0,1,0,0,1,0
