R2,RMSE,MAE,MedAE,MAPE
0.27,546747.59,358915.55,193695.2,0.41
0.42,512713.7,347768.65,195000.5,0.41
1.0,8.89,0.6,0.0,0.0
0.66,373052.16,255488.21,158293.09,0.3
0.76,329438.77,222056.43,145815.74,0.27
0.96,130296.62,88421.16,57367.88,0.1
0.65,380773.76,273151.41,195334.6,0.34
0.7,368234.29,267086.12,202154.93,0.36
0.7,357826.18,255581.45,186409.49,0.33
0.65,380096.23,271983.86,193974.46,0.34
0.7,368332.26,267121.74,200743.45,0.36
0.7,358061.32,255868.6,185571.47,0.33
0.65,380771.09,273146.0,195329.23,0.34
0.7,368235.71,267086.19,202141.42,0.36
0.7,357826.19,255582.16,186382.17,0.33
0.65,379349.45,260305.51,165807.51,0.3
0.75,336267.52,225367.68,146332.97,0.27
0.99,71283.11,50316.73,35095.12,0.07
0.45,478450.23,333341.2,218894.8,0.41
0.56,447313.59,300992.6,210746.67,0.4
0.67,375741.02,260570.99,172230.0,0.31
0.64,384956.15,261174.22,178492.32,0.3
0.71,366281.56,253283.03,176297.9,0.31
0.68,370911.64,250753.29,166450.01,0.29
0.59,413352.13,290319.57,203503.81,0.35
0.61,419772.98,304446.13,213308.56,0.39
0.63,397828.2,286834.6,197552.02,0.36
0.65,379382.36,270108.11,185658.81,0.34
0.72,360653.48,261509.57,208875.59,0.35
0.69,360679.77,255383.71,182311.63,0.32
