img_index,person,bicycle,car,motorcycle,chair,couch,potted plant,bed,dining table,toilet,tv,laptop,microwave,oven,toaster,sink,refrigerator
0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0
1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1
2,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1
3,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1
4,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1
9,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1
10,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1
11,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1
12,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
13,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1
14,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
15,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
16,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
17,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1
18,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1
19,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1
20,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0
21,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
24,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
27,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1
28,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1
29,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1
30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
32,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
33,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
34,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
35,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
36,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1
37,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
38,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
39,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
40,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
41,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
42,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1
43,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
44,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
45,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0
46,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
47,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
48,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
49,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1
50,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
51,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1
52,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0
53,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1
57,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1
58,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1
59,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
